participant_id,arm,outcome,est_composite,est_coverage,est_specificity,est_refusal_recovery,est_verification,est_uptake,selfreport_llm
v000,llm,0.7054,0.5,1.0,0.5,0.0,0.0,1.0,1
v001,llm,0.7857,0.62,0.8,0.5,0.0,1.0,0.8,2
v002,llm,0.4911,0.48,0.4,0.5,0.0,1.0,0.5,3
v003,control,0.0,0.57,0.6,0.5,0.0,1.0,0.75,1
v004,llm,0.3482,0.23,0.4,0.0,0.0,0.0,0.75,0
v005,llm,0.9821,0.37,0.6,0.5,0.0,0.0,0.75,3
v006,control,0.0,0.58,0.4,0.5,0.0,1.0,1.0,1
v007,llm,0.7054,0.7667,1.0,1.0,0.0,1.0,0.8333,2
v008,llm,0.625,0.3733,0.2,0.0,0.0,1.0,0.6667,0
v009,llm,0.5,0.7,1.0,0.5,0.0,1.0,1.0,0
v010,control,0.0,0.7,1.0,0.5,0.0,1.0,1.0,3
v011,llm,0.7054,0.38,0.4,0.5,0.0,0.0,1.0,2
v012,control,0.0,0.66,0.8,0.5,0.0,1.0,1.0,3
v013,control,0.0,0.52,0.8,0.0,1.0,0.0,0.8,0
v014,control,0.0,0.44,0.6,0.0,1.0,0.0,0.6,2
v015,llm,0.3571,0.3,0.0,0.0,0.0,1.0,0.5,0
v016,control,0.0,0.44,0.2,0.0,0.0,1.0,1.0,1
v017,llm,0.4911,0.2467,0.4,0.5,0.0,0.0,0.3333,2
v018,llm,0.5536,0.28,0.4,0.5,0.0,0.0,0.5,1
v019,llm,0.9107,0.62,0.8,0.5,0.0,1.0,0.8,2
v020,control,0.0,0.1067,0.2,0.0,0.0,0.0,0.3333,0
v021,control,0.0,0.38,0.4,0.5,0.0,0.0,1.0,3
v022,control,0.0,0.5267,0.8,1.0,0.0,0.0,0.8333,0
v023,control,0.0,0.28,0.4,0.0,0.0,0.0,1.0,0
v024,control,0.0,0.4,0.0,0.0,0.0,1.0,1.0,1
v025,control,0.0,0.9714,1.0,1.0,1.0,1.0,0.8571,3
v026,control,0.0,0.1067,0.2,0.0,0.0,0.0,0.3333,1
v027,llm,0.7679,0.66,0.8,0.5,0.0,1.0,1.0,0
v028,control,0.0,0.46,0.8,0.5,0.0,0.0,1.0,1
v029,llm,0.3571,0.32,0.6,0.5,0.0,0.0,0.5,2
v030,control,0.0,0.36,0.8,0.0,0.0,0.0,1.0,3
v031,control,0.0,0.28,0.4,0.0,0.0,0.0,1.0,3
v032,control,0.0,0.1067,0.2,0.0,0.0,0.0,0.3333,1
v033,llm,0.5,0.1467,0.4,0.0,0.0,0.0,0.3333,0
v034,control,0.0,0.46,0.8,0.5,0.0,0.0,1.0,2
v035,llm,0.9821,0.54,0.8,0.5,1.0,0.0,0.4,1
v036,control,0.0,0.22,0.6,0.0,0.0,0.0,0.5,0
v037,llm,0.6339,0.62,0.6,0.5,0.0,1.0,1.0,1
v038,llm,0.6964,0.48,0.4,0.0,0.0,1.0,1.0,0
v039,llm,0.3482,0.44,0.2,0.0,0.0,1.0,1.0,1
v040,control,0.0,0.52,0.6,0.0,0.0,1.0,1.0,2
v041,control,0.0,0.6,1.0,1.0,0.0,0.0,1.0,1
v042,control,0.0,0.28,0.4,0.0,0.0,0.0,1.0,0
v043,control,0.0,0.23,0.4,0.0,0.0,0.0,0.75,0
v044,llm,0.7143,0.62,0.8,0.5,0.0,1.0,0.8,3
v045,llm,0.3571,0.18,0.4,0.0,0.0,0.0,0.5,0
v046,llm,0.6339,0.38,0.8,0.5,0.0,0.0,0.6,2
v047,llm,0.5625,0.44,0.6,1.0,0.0,0.0,0.6,2
